Page,Item,Title,Date
29,1,"민병하 홍천농고교장, 무궁화장학금 300만 원 기탁",2024/08/29
29,2,"신영재 홍천군수, 홍천군 민방위지역대장 집합교육 참석",2024/08/29
29,3,"신영재 홍천군수, 다자녀 출산가정 축하 방문",2024/08/29
29,4,“구명조끼도 없이 맨몸으로 작업했다” 저수지 사망 형제 유족 분통,2024/08/29
29,5,"종로구, 내달 2~3일 ‘추석맞이 직거래장터’ 열어",2024/08/29
29,6,저수지 빠진 노동자 2명 숨진 채 발견‥중대재해법 조사,2024/08/29
29,7,"홍천 저수지서 부교 작업 중 물에 빠진 40대 형제, 숨진 채 발견",2024/08/29
29,8,‘농업인만 농기계 임대?’ 홍천군의회 낡은 조례 손본다,2024/08/29
29,9,이 시각 소방청 상황실,2024/08/28
29,10,"저수지 실종 형제, 결국 시신으로…“구명조끼만 입혔어도”",2024/08/28
30,1,지난해 강원지역 산모 평균 출산연령 ‘33세’… 출산연령 10년째 높아져,2024/08/28
30,2,구명조끼 하나 없는 대룡저수지 공사 현장…형제의 죽음은 예고된 ‘인재’,2024/08/28
30,3,동생 구하려던 형까지...40대 형제 참변,2024/08/28
30,4,"“동생 구하러 뛰어든 형, 우애 깊었다”…저수지 형제 사망에 유족 ‘침통’",2024/08/28
30,5,물에 빠진 동생 구하러 몸 던진 형…40대 형제 결국 숨진 채 인양,2024/08/28
30,6,"저수지 실종 형제, 결국 시신으로…“구명조끼만 입혔어도”",2024/08/28
30,7,저수지 부교 작업 중 실종된 형제… 이틀 만에 숨진 채 발견,2024/08/28
30,8,홍천 저수지서 실종된 40대 형제…이틀 만에 모두 숨진 채 발견,2024/08/28
30,9,동생 구하러 저수지에 뛰어든 형…40대 형제 모두 숨진 채 발견,2024/08/28
30,10,홍천 저수지서 실종된 40대 형제…모두 숨진 채 발견,2024/08/28
31,1,강원 홍천서 실종된 40대 형제…형 이어 동생도 숨진 채 발견[종합],2024/08/28
31,2,'형 이어 동생 마저'…부교 작업 중 실종 형제 모두 사망,2024/08/28
31,3,홍천 저수지서 실종 이틀 만에…형제 노동자 숨진 채 발견,2024/08/28
31,4,[포토뉴스]강원특별자치도행정동우회 ‘홍천수타사 산소길 자연사랑 줍킹’,2024/08/28
31,5,홍천서 동생 물에 빠지자 형이 구하려다…형제 모두 참변,2024/08/28
31,6,홍천 대룡저수지서 작업 중 실종된 40대 형제 숨진 채 발견···중처법 위반 여부 조사 예정,2024/08/28
31,7,"홍천 저수지 부교 설치하다 빠진 형제, 모두 숨진 채 발견",2024/08/28
31,8,작업 중 동생 물에 빠지자 뛰어든 형…형제 모두 숨진채 발견,2024/08/28
31,9,홍천 북방면 대룡저수지 실종 형제 숨진 채 발견,2024/08/28
31,10,저수지 빠진 동생 구하려던 형까지...40대 형제 참변,2024/08/28
32,1,[속보] 동생 구하러 뛰어든 형…홍천 저수지 실종 40대 형제 숨진 채 발견,2024/08/28
32,2,동생 구하려던 형까지...40대 형제 참변,2024/08/28
32,3,[2보]홍천 대룡저수지서 실종된 40대 형제 숨진 채 발견,2024/08/28
32,4,"홍천 저수지 부교 작업 중 실종 형제, 숨진 채 발견",2024/08/28
32,5,홍천 대룡저수지 형제 실종 수색 2일차…형 숨진 채 발견,2024/08/28
